Season,Episode,Month,Year,Description,Rating
5,The One Where Rachel Smokes,Apr 8,1999,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",7.8
5,The One Where Ross Can't Flirt,Apr 22,1999,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",8.6
5,The One with the Ride Along,Apr 29,1999,The guys go on a ride-along with Gary where Ross thinks Joey saved his life which angers Chandler because he thinks Joey chose Ross over him. Rachel accidentally deletes a message from Emily on Ross's answering machine.,8.1
5,The One with the Ball,May 6,1999,"Gary asks Phoebe to move in with him but she's reluctant. To overcome boredom, Ross and Joey start endlessly throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",8.3
5,The One with Joey's Big Break,May 11,1999,"Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",8.1
5,The One in Vegas: Part 1,Nov 3,1999,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,8.6
5,The One in Vegas: Part 2,Nov 10,1999,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,9.0
6,The One After Vegas,Sep 23,1999,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,8.6
6,The One Where Ross Hugs Rachel,Sep 30,1999,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,8.0
6,The One with Ross's Denial,Oct 7,1999,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,8.0
6,The One Where Joey Loses His Insurance,Oct 14,1999,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",8.3
6,The One with Joey's Porsche,Oct 21,1999,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",8.0
6,The One on the Last Night,Nov 4,1999,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",8.4
6,The One Where Phoebe Runs,Nov 11,1999,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,8.2
6,The One with Ross' Teeth,Nov 18,1999,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,8.3
6,The One Where Ross Got High,Nov 25,1999,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,9.1
6,The One with the Routine,Dec 16,1999,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",8.5
6,The One with the Apothecary Table,Jan 6,2000,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",7.9
6,The One with the Joke,Jan 13,2000,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",7.8
6,The One with Rachel's Sister,Feb 3,2000,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",8.0
6,The One Where Chandler Can't Cry,Feb 10,2000,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",8.4
6,The One That Could Have Been: Part 1,Feb 17,2000,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.,8.3
6,The One That Could Have Been: Part 2,Feb 17,2000,The gang continue to think about how different their lives could have been.,8.3
6,The One with Unagi,Feb 24,2000,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,8.9
6,The One Where Ross Dates a Student,Mar 9,2000,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,8.1
6,The One with Joey's Fridge,Mar 23,2000,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,8.1
6,The One with Mac and C.H.E.E.S.E.,Apr 13,2000,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,7.1
6,The One Where Ross Meets Elizabeth's Dad,Apr 27,2000,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",8.5
6,The One Where Paul's the Man,May 4,2000,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue and Joey tries to get his acting headshot onto the wall of a local laundromat.,8.9
6,The One with the Ring,May 11,2000,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,8.4
6,The One with the Proposal: Part 1,May 18,2000,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,8.6
6,The One with the Proposal: Part 2,May 18,2000,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",9.2
7,The One with Monica's Thunder,Oct 12,2000,They all celebrate Monica and Chandler's engagement but Ross and Rachel upstage them by kissing. Joey dresses and acts like a nineteen-year-old for a role and Phoebe tries to persuade Monica and Chandler to let her sing at their wedding.,8.2
7,The One with Rachel's Book,Oct 12,2000,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",8.1
7,The One with Phoebe's Cookies,Oct 19,2000,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",7.9
7,The One with Rachel's Assistant,Oct 26,2000,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",7.9
7,The One with the Engagement Picture,Nov 2,2000,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",7.9
7,The One with the Nap Partners,Nov 9,2000,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",8.7
7,The One with Ross's Library Book,Nov 16,2000,"Ross and Chandler discover a section of the library where students go to have sex. Monica and Chandler run into Janice and she invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend.",8.3
7,The One Where Chandler Doesn't Like Dogs,Nov 23,2000,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",8.0
7,The One with All the Candy,Dec 7,2000,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",7.9
7,The One with the Holiday Armadillo,Dec 14,2000,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",8.4
7,The One with All the Cheesecakes,Jan 4,2001,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,8.4
7,The One Where They're Up All Night,Jan 11,2001,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",8.5
7,The One Where Rosita Dies,Feb 1,2001,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,8.2
7,The One Where They All Turn Thirty,Feb 8,2001,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,8.4
7,The One with Joey's New Brain,Feb 15,2001,Joey's character on Days of Our Lives wakes up from his coma with a brain transplant from one of the show's legendary characters. Ross practices the bagpipes for Monica and Chandler's wedding. Phoebe and Rachel compete for the same man.,8.2
7,The One with the Truth About London,Feb 22,2001,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",8.6
7,The One with the Cheap Wedding Dress,Mar 15,2001,"Monica has to decide between her wedding dress and the band Chandler wants for the wedding. Joey and Ross date the same girl, and they both try to fight for her attention.",8.2
7,The One with Joey's Award,Mar 29,2001,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home.,8.2
7,The One with Ross and Monica's Cousin,Apr 19,2001,Joey auditions for a naked role in a big movie but the role becomes more complicated than he thought it would be. Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,8.5
7,The One with Rachel's Big Kiss,Apr 26,2001,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,8.2
7,The One with the Vows,May 3,2001,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",7.2
7,The One with Chandler's Dad,May 10,2001,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,8.2
7,The One with Monica and Chandler's Wedding: Part 1,May 17,2001,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",8.7
7,The One with Monica and Chandler's Wedding: Part 2,May 17,2001,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,9.1
8,The One After I Do,Sep 27,2001,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,8.6
8,The One with the Red Sweater,Apr 4,2002,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",9.0
8,The One Where Rachel Tells...,Oct 11,2001,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class.",8.5
8,The One with the Videotape,Oct 18,2001,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",9.2
8,The One with Rachel's Date,Oct 25,2001,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him.",7.9
8,The One with the Halloween Party,Nov 1,2001,"Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the ""real"" Ursula.",8.4
8,The One with the Stain,Nov 8,2001,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe. Joey, Rachel and Ross try to change their living arrangements.",7.7
8,The One with the Stripper,Nov 15,2001,"Chandler finds out that Monica had a bachelorette party, even though they promised not to have parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid he will be angry when she tells him she's pregnant.",8.6
8,The One with the Rumor,Nov 22,2001,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",9.2
8,The One with Monica's Boots,Dec 6,2001,Monica's expensive new boots hurt her feet but she's determined to show Chandler her purchase was worth it; Ben goes to school with Sting's son. Joey's sister becomes pregnant which causes Joey to intervene and she asks Rachel for advice.,7.9
8,The One with Ross's Step Forward,Dec 13,2001,Ross' new girlfriend Mona orders Christmas cards with a photo of them on the cover. Rachel's pregnancy hormones are affecting her psychologically. Chandler's boss causes him to see what his life would be like without Monica.,7.8
8,The One Where Joey Dates Rachel,Jan 10,2002,Joey takes Rachel to dinner on a pretend date to practice his dating skills but soon develops romantic feelings for her; gang addicted to Ms. Pac-Man. Ross is assigned to teach a new class but the travel time becomes too difficult for him.,8.4
8,The One Where Chandler Takes a Bath,Jan 17,2002,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex. Joey struggles with his feelings for Rachel.,8.4
8,The One with the Secret Closet,Jan 31,2002,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside. Monica moans when Phoebe massages her which makes Phoebe uncomfortable. Ross is upset when he can't be more involved with Rachel's pregnancy issues.",8.0
8,The One with the Birthing Video,Feb 7,2002,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living with him. Phoebe tries to help with Joey's depression caused by his feelings for Rachel.",8.2
8,The One Where Joey Tells Rachel,Feb 28,2002,Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together.,8.1
8,The One with the Tea Leaves,Mar 7,2002,"Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice.",7.9
8,The One in Massapequa,Mar 28,2002,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,8.0
8,The One with Joey's Interview,Apr 4,2002,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",7.2
8,The One with the Baby Shower,Apr 25,2002,Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby. Joey auditions for a job as a host for a new game show. Chandler and Ross help him practice.,8.1
8,The One with the Cooking Class,May 2,2002,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",8.0
8,The One Where Rachel Is Late,May 9,2002,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,8.2
8,The One Where Rachel Has a Baby: Part 1,May 16,2002,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband.",8.7
8,The One Where Rachel Has a Baby: Part 2,May 16,2002,"After Rachel gives birth to her baby, she must confront relationship issues around her.",8.8
9,The One Where No One Proposes,Sep 26,2002,"Rachel, Ross and Joey get together and figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex.",8.5
9,The One Where Emma Cries,Oct 3,2002,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",8.4
9,The One with the Pediatrician,Oct 10,2002,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",8.1
9,The One with the Sharks,Oct 17,2002,Monica thinks that Chandler is sexually attracted to sea life after he switches the station from porn to a shark documentary to conceal his sordid viewing.,8.0
9,The One with Phoebe's Birthday Dinner,Oct 31,2002,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",8.3
9,The One with the Male Nanny,Nov 7,2002,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",8.2
9,The One with Ross's Inappropriate Song,Nov 14,2002,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",8.5
9,The One with Rachel's Other Sister,Nov 21,2002,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,8.7
9,The One with Rachel's Phone Number,Dec 5,2002,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",8.0
9,The One with Christmas in Tulsa,Dec 12,2002,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",7.2
9,The One Where Rachel Goes Back to Work,Jan 9,2003,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",7.8
9,The One with Phoebe's Rats,Jan 16,2003,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,7.7
9,The One Where Monica Sings,Jan 30,2003,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,8.0
9,The One with the Blind Dates,Feb 6,2003,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,8.0
9,The One with the Mugging,Feb 13,2003,"Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as an advertising writer.",8.1
9,The One with the Boob Job,Feb 20,2003,"When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job.",8.0
9,The One with the Memorial Service,Mar 13,2003,"When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college.",8.3
9,The One with the Lottery,Apr 3,2003,"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.",8.5
9,The One with Rachel's Dream,Apr 17,2003,"Nervous about his upcoming romantic scenes, Joey rehearses them with Rachel. Ross & Chandler get their money's worth on their weekend trip to Vermont while Phoebe takes advantage of Monica's clientele.",7.9
9,The One with the Soap Opera Party,Apr 24,2003,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,8.1
9,The One with the Fertility Test,May 1,2003,Joey comes to Ross for advice on dating Charlie. Chandler and Monica bump into Janice at a fertility clinic. Rachel has a gift certificate for a massage which Phoebe doesn't want her to use.,8.1
9,The One with the Donor,May 8,2003,Rachel take Joey's girlfriend Charlie and Phoebe shopping. Ross presents his theory to get a chance to go a conference in Barbados. Monica and Chandler consider alternate pregnancy options.,7.6
9,The One in Barbados,May 15,2003,The gang heads down to Barbados for the palaeontology conference.,8.5
10,The One After Joey and Rachel Kiss,Sep 25,2003,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,8.4
10,The One Where Ross Is Fine,Oct 2,2003,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,8.7
10,The One with Ross's Tan,Oct 9,2003,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,8.6
10,The One with the Cake,Oct 23,2003,"On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.",8.2
10,The One Where Rachel's Sister Babysits,Oct 30,2003,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,8.0
10,The One with Ross' Grant,Nov 6,2003,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,8.0
10,The One with the Home Study,Nov 13,2003,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,8.1
10,The One with the Late Thanksgiving,Nov 20,2003,"Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.",8.8
10,The One with the Birth Mother,Jan 8,2004,"Nervous and excited, Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child when it's born.",8.4
10,The One Where Chandler Gets Caught,Jan 15,2004,Monica & Chandler look at real estate outside the city which leads to the rest of the gang reminiscing on all their memories of the apartment.,7.8
10,The One Where the Stripper Cries,Feb 5,2004,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,8.9
10,The One with Phoebe's Wedding,Feb 12,2004,Chaos ensues as Phoebe and Mike prepare to get married.,8.8
10,The One Where Joey Speaks French,Feb 19,2004,Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,8.3
10,The One with Princess Consuela,Feb 26,2004,Phoebe ponders whether or not to changer her name. Monica & Chandler take Joey to visit the new house. Ross & Rachel set their eyes on their career profession.,8.4
10,The One Where Estelle Dies,Apr 22,2004,"Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.",8.4
10,The One with Rachel's Going Away Party,Apr 29,2004,"The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.",8.8
10,The Last One,May 6,2004,"Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.",9.6
